GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,mac,psum_spad,weights_spad,ifmap_spad,shared_glb,DRAM,Total,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,158,layers_31_mixer_dt_proj,layers,31.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,159,layers_31_mixer_out_proj,layers,31.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,160,layers_32_mixer_in_proj,layers,32.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,161,layers_32_mixer_conv1d,layers,32.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,162,layers_32_mixer_x_proj,layers,32.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,163,layers_32_mixer_dt_proj,layers,32.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,164,layers_32_mixer_out_proj,layers,32.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,165,layers_33_mixer_in_proj,layers,33.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,166,layers_33_mixer_conv1d,layers,33.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,167,layers_33_mixer_x_proj,layers,33.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,168,layers_33_mixer_dt_proj,layers,33.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,169,layers_33_mixer_out_proj,layers,33.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,170,layers_34_mixer_in_proj,layers,34.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,171,layers_34_mixer_conv1d,layers,34.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,172,layers_34_mixer_x_proj,layers,34.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,173,layers_34_mixer_dt_proj,layers,34.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,174,layers_34_mixer_out_proj,layers,34.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,175,layers_35_mixer_in_proj,layers,35.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,176,layers_35_mixer_conv1d,layers,35.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,177,layers_35_mixer_x_proj,layers,35.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,178,layers_35_mixer_dt_proj,layers,35.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,179,layers_35_mixer_out_proj,layers,35.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,180,layers_36_mixer_in_proj,layers,36.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,181,layers_36_mixer_conv1d,layers,36.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,182,layers_36_mixer_x_proj,layers,36.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,183,layers_36_mixer_dt_proj,layers,36.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,184,layers_36_mixer_out_proj,layers,36.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,185,layers_37_mixer_in_proj,layers,37.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,186,layers_37_mixer_conv1d,layers,37.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,187,layers_37_mixer_x_proj,layers,37.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,188,layers_37_mixer_dt_proj,layers,37.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,189,layers_37_mixer_out_proj,layers,37.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,190,layers_38_mixer_in_proj,layers,38.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,191,layers_38_mixer_conv1d,layers,38.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,192,layers_38_mixer_x_proj,layers,38.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,193,layers_38_mixer_dt_proj,layers,38.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,194,layers_38_mixer_out_proj,layers,38.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,195,layers_39_mixer_in_proj,layers,39.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,196,layers_39_mixer_conv1d,layers,39.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,197,layers_39_mixer_x_proj,layers,39.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,198,layers_39_mixer_dt_proj,layers,39.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,199,layers_39_mixer_out_proj,layers,39.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,200,layers_40_mixer_in_proj,layers,40.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,201,layers_40_mixer_conv1d,layers,40.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,202,layers_40_mixer_x_proj,layers,40.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,203,layers_40_mixer_dt_proj,layers,40.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,204,layers_40_mixer_out_proj,layers,40.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,205,layers_41_mixer_in_proj,layers,41.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,206,layers_41_mixer_conv1d,layers,41.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,207,layers_41_mixer_x_proj,layers,41.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,208,layers_41_mixer_dt_proj,layers,41.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,209,layers_41_mixer_out_proj,layers,41.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
16.00,4.76%,2097152,1120.29,2.35e+03,0.00,207.69,470.41,1930.72,106.84,19.54,64039.06,66774.27,210,layers_42_mixer_in_proj,layers,42.0,mixer,in_proj,2048,1,8192,1,1,1,1,1
28.00,9.52%,13312,9.89,1.32e-01,0.00,207.69,219.54,1934.30,189.91,3258.91,40615.38,46425.73,211,layers_42_mixer_conv1d,layers,42.0,mixer,conv1d,1,4096,1,1,1,13,1,4
20.00,5.95%,65536,44.04,2.89e+00,0.00,207.69,470.52,1930.72,112.37,69.85,64415.62,67206.78,212,layers_42_mixer_x_proj,layers,42.0,mixer,x_proj,4096,1,160,1,1,1,1,1
15.94,4.76%,65536,35.25,2.31e+00,0.00,207.69,454.83,1930.72,101.34,15.50,64515.62,67225.71,213,layers_42_mixer_dt_proj,layers,42.0,mixer,dt_proj,128,1,4096,1,1,1,1,1
16.00,4.76%,1048576,560.21,5.87e+02,0.00,207.69,470.47,1930.72,106.84,19.76,64046.88,66782.36,214,layers_42_mixer_out_proj,layers,42.0,mixer,out_proj,4096,1,2048,1,1,1,1,1
